ID :  43, Time : 138, Before : 13, After :  6
ID :  55, Time : 138, Before : 17, After : 14
ID :  14, Time : 139, Before : 11, After :  3
ID :  59, Time : 139, Before :  5, After : 15
ID :  73, Time : 140, Before : 11, After : 13
ID :  76, Time : 140, Before : 15, After : 12
ID :  97, Time : 141, Before : 11, After : 13
ID :   6, Time : 142, Before :  5, After : 18
ID :  99, Time : 142, Before : 11, After : 17
ID :  28, Time : 143, Before :  4, After :  7
ID :  10, Time : 143, Before : 19, After : 16
ID :  43, Time : 144, Before :  6, After : 13
ID :  90, Time : 144, Before : 19, After : 17
ID :  57, Time : 145, Before :  2, After : 10
ID :  15, Time : 145, Before : 17, After : 11
ID :  86, Time : 146, Before : 18, After : 14
ID :  37, Time : 146, Before : 19, After : 17
ID :  99, Time : 146, Before : 17, After : 11
ID :  73, Time : 147, Before : 13, After : 11
ID :  58, Time : 147, Before :  2, After : 12
ID :   3, Time : 148, Before :  2, After : 13
ID :  94, Time : 149, Before :  2, After : 13
ID :  97, Time : 149, Before : 13, After : 11
ID :  91, Time : 150, Before :  4, After :  5
ID :  51, Time : 150, Before : 12, After :  3
ID :  85, Time : 150, Before : 12, After :  7
ID :   8, Time : 150, Before : 13, After :  3
ID :  47, Time : 150, Before : 13, After :  9
ID :  83, Time : 151, Before : 16, After : 11
ID :  90, Time : 151, Before : 17, After :  3
ID :  34, Time : 155, Before : 16, After : 19
ID :  87, Time : 157, Before :  3, After : 17
ID :  65, Time : 157, Before : 14, After : 17
ID :   5, Time : 159, Before : 13, After :  3
ID :  65, Time : 163, Before : 17, After : 11
ID :  43, Time : 163, Before : 13, After :  6
ID :  14, Time : 163, Before :  3, After : 15
ID :  51, Time : 164, Before :  3, After : 11
ID :  80, Time : 165, Before :  3, After : 11
ID :  90, Time : 166, Before :  3, After : 11
ID :  12, Time : 166, Before : 10, After : 11
ID :  70, Time : 168, Before : 10, After : 12
ID :  57, Time : 168, Before : 10, After :  2
ID :  45, Time : 169, Before : 10, After : 15
ID :  34, Time : 170, Before : 19, After :  7
ID :  93, Time : 170, Before : 17, After : 16
ID :  18, Time : 171, Before :  7, After :  1
ID :  90, Time : 171, Before : 11, After :  3
ID :   7, Time : 173, Before : 13, After :  3
ID :  61, Time : 173, Before :  8, After : 12
ID :  94, Time : 174, Before : 13, After :  9
ID :  74, Time : 175, Before : 10, After :  8
ID :  78, Time : 178, Before : 13, After :  3
ID :  45, Time : 179, Before : 15, After : 13
ID :  70, Time : 180, Before : 12, After :  5
ID :  84, Time : 180, Before : 14, After : 17
ID :  51, Time : 181, Before : 11, After :  3
ID :  65, Time : 182, Before : 11, After : 17
ID :   9, Time : 182, Before : 15, After :  8
ID :  38, Time : 183, Before :  2, After :  3
ID :  28, Time : 186, Before :  7, After :  4
ID :  74, Time : 187, Before :  8, After : 10
ID :  25, Time : 187, Before : 17, After : 16
ID :  57, Time : 188, Before :  2, After : 10
ID :  58, Time : 189, Before : 12, After :  2
ID :  44, Time : 190, Before : 14, After : 17
ID :  71, Time : 191, Before : 15, After :  4
ID :  79, Time : 191, Before : 17, After : 14
ID :  11, Time : 192, Before :  9, After : 13
ID :  29, Time : 192, Before : 16, After : 19
ID :   8, Time : 193, Before :  3, After : 16
ID :  92, Time : 195, Before :  6, After : 13
ID :  47, Time : 196, Before :  9, After :  2
ID :  10, Time : 198, Before : 16, After : 19
ID :  69, Time : 200, Before :  9, After :  2
ID :  84, Time : 200, Before : 17, After : 14
ID :  71, Time : 201, Before :  4, After :  7
ID :  76, Time : 201, Before : 12, After :  8
ID :  22, Time : 201, Before : 15, After :  8
ID :  82, Time : 203, Before :  8, After : 15
ID :  11, Time : 203, Before : 13, After :  9
ID :  61, Time : 205, Before : 12, After :  8
ID :  72, Time : 206, Before :  9, After : 13
ID :  99, Time : 206, Before : 11, After : 10
ID :  24, Time : 206, Before : 13, After :  2
ID :  43, Time : 207, Before :  6, After :  7
ID :  54, Time : 207, Before : 12, After :  8
ID :  90, Time : 208, Before :  3, After : 19
ID :  34, Time : 209, Before :  7, After : 19
ID :  98, Time : 210, Before :  4, After : 11
ID :  30, Time : 211, Before :  4, After : 11
ID :   9, Time : 211, Before :  8, After : 15
ID :  28, Time : 212, Before :  4, After : 15
ID :  23, Time : 212, Before : 19, After :  3
ID :  43, Time : 214, Before :  7, After :  6
ID :  57, Time : 215, Before : 10, After :  2
ID :  78, Time : 217, Before :  3, After : 11
ID :  54, Time : 219, Before :  8, After : 12
ID :  28, Time : 219, Before : 15, After :  4
ID :   6, Time : 219, Before : 18, After :  9
ID :  30, Time : 220, Before : 11, After :  4
ID :  21, Time : 220, Before :  8, After : 15
ID :  76, Time : 222, Before :  8, After :  4
ID :  15, Time : 222, Before : 11, After : 17
ID :  35, Time : 224, Before : 19, After : 17
ID :  86, Time : 224, Before : 14, After : 18
ID :  87, Time : 225, Before : 17, After : 19
ID :  46, Time : 225, Before : 16, After : 17
ID :  67, Time : 225, Before : 19, After : 16
ID :  61, Time : 226, Before :  8, After : 12
ID :  28, Time : 227, Before :  4, After : 11
ID :  30, Time : 229, Before :  4, After : 11
ID :  15, Time : 229, Before : 17, After : 16
ID : 100, Time : 231, Before :  1, After : 11
ID :  65, Time : 233, Before : 17, After : 11
ID :  47, Time : 234, Before :  2, After :  6
ID :  30, Time : 235, Before : 11, After :  4
ID :  98, Time : 236, Before : 11, After :  4
ID :  59, Time : 237, Before : 15, After : 18
ID :  28, Time : 238, Before : 11, After :  4
ID : 100, Time : 239, Before : 11, After :  1
ID :  63, Time : 239, Before : 17, After : 11
ID :  90, Time : 240, Before : 19, After :  7
ID :  75, Time : 242, Before :  2, After :  6
ID :  97, Time : 242, Before : 11, After : 16
ID :  61, Time : 242, Before : 12, After : 15
ID :  20, Time : 242, Before :  3, After : 16
ID :  96, Time : 242, Before :  3, After : 16
ID :  25, Time : 243, Before : 16, After : 11
ID :  94, Time : 244, Before :  9, After : 13
